name,initial_size,batch_size,ping_ms,success_rate,latency_ms
sq-c-o-topic,32,10,157,100.000000,1576.000000
sq-c-o-topic,32,10,157,100.000000,1577.000000
sq-c-o-topic,32,50,157,58.187500,1999.000000
sq-c-o-topic,32,50,157,85.875000,2000.000000
sq-c-o-topic,32,50,157,89.562500,1994.000000
sq-c-o-topic,32,100,157,55.687500,1674.000000
sq-c-o-topic,32,100,157,55.718750,1675.000000
sq-c-o-topic,32,100,157,64.531250,1675.000000
mq-c-o-topic,32,1,157,100.000000,632.000000
mq-c-o-topic,32,1,157,100.000000,315.000000
mq-c-o-topic,32,1,157,100.000000,323.000000
mq-c-o-topic,32,10,157,100.000000,941.000000
mq-c-o-topic,32,10,157,100.000000,940.000000
mq-c-o-topic,32,10,157,100.000000,938.000000
mq-c-o-topic,32,50,157,100.000000,1565.000000
mq-c-o-topic,32,50,157,100.000000,1568.000000
mq-c-o-topic,32,50,158,100.000000,1572.000000
mq-c-o-topic,32,100,157,100.000000,1889.000000
mq-c-o-topic,32,100,157,100.000000,1879.000000
mq-c-o-topic,32,100,157,100.000000,1887.000000
sq-c-o-topic,64,1,158,100.000000,1272.000000
sq-c-o-topic,64,1,158,100.000000,927.000000
sq-c-o-topic,64,1,158,100.000000,938.000000
sq-c-o-topic,64,10,158,100.000000,1915.000000
sq-c-o-topic,64,10,158,100.000000,1919.000000
sq-c-o-topic,64,10,158,100.000000,1915.000000
sq-c-o-topic,64,50,162,43.125000,2000.000000
sq-c-o-topic,64,50,159,60.312500,1999.000000
sq-c-o-topic,64,50,158,67.625000,1999.000000
sq-c-o-topic,64,100,159,42.390625,1999.000000
sq-c-o-topic,64,100,159,42.140625,2000.000000
sq-c-o-topic,64,100,158,42.593750,2000.000000
mq-c-o-topic,64,1,158,100.000000,648.000000
mq-c-o-topic,64,1,159,100.000000,625.000000
mq-c-o-topic,64,1,158,100.000000,325.000000
mq-c-o-topic,64,10,158,100.000000,1251.000000
mq-c-o-topic,64,10,158,100.000000,1249.000000
mq-c-o-topic,64,10,158,100.000000,1251.000000
mq-c-o-topic,64,50,159,100.000000,1886.000000
mq-c-o-topic,64,50,158,100.000000,1884.000000
mq-c-o-topic,64,50,158,100.000000,1883.000000
mq-c-o-topic,64,100,159,99.484375,1987.000000
mq-c-o-topic,64,100,159,100.000000,1607.000000
mq-c-o-topic,64,100,158,98.437500,1600.000000
